"participant_id","fsm_type","test_condition","phase","trial_order","sender","state_current","response_current","state_next","state_1","response_1","state_2","response_2","state_3","response_time","response_time_lessThan300ms","trial_id","trial_type","option_1","option_2","correctResponse","response","response_correct","option_1_p","option_2_p","duration","explanation_1_decrease","explanation_2_decrease","response_time_lessThan1000ms","response_time_tooQuick"
1,"hard","prediction","learning",2,"trial_1_seq",0,"b",3,NA,NA,0,"b",3,3198.76000000058,0,"0b3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
1,"hard","prediction","learning",3,"trial_2_seq",3,"b",2,0,"b",3,"b",2,3192.00700000276,0,"3b2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
1,"hard","prediction","learning",4,"learning_control_trial_seq",2,"b",0,3,"b",2,"b",0,1661.84800000112,0,"2b0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
1,"hard","prediction","learning",5,"learning_control_trial_seq",0,"b",3,2,"b",0,"b",3,4840.27700000172,0,"0b3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
1,"hard","prediction","learning",6,"learning_control_trial_seq",3,"b",3,0,"b",3,"b",3,5610.9770000032,0,"3b3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
1,"hard","prediction","learning",7,"learning_control_trial_seq",3,"a",2,3,"b",3,"a",2,1629.774000003,0,"3a2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
1,"hard","prediction","learning",8,"learning_control_trial_seq",2,"a",2,3,"a",2,"a",2,4587.91900000127,0,"2a2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
1,"hard","prediction","learning",9,"learning_control_trial_seq",2,"a",2,2,"a",2,"a",2,3128.80800000025,0,"2a2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
1,"hard","prediction","learning",10,"learning_control_trial_seq",2,"a",2,2,"a",2,"a",2,1242.2690000009,0,"2a2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
1,"hard","prediction","learning",11,"learning_control_trial_seq",2,"b",1,2,"a",2,"b",1,827.178000000597,0,"2b1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
1,"hard","prediction","learning",12,"learning_control_trial_seq",1,"b",3,2,"b",1,"b",3,2593.30000000107,0,"1b3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
1,"hard","prediction","learning",13,"learning_control_trial_seq",3,"b",2,1,"b",3,"b",2,4681.3950000015,0,"3b2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
1,"hard","prediction","learning",14,"learning_control_trial_seq",2,"b",1,3,"b",2,"b",1,4616.01600000195,0,"2b1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
1,"hard","prediction","learning",15,"learning_control_trial_seq",1,"b",3,2,"b",1,"b",3,1594.99800000066,0,"1b3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
1,"hard","prediction","learning",16,"learning_control_trial_seq",3,"a",0,1,"b",3,"a",0,1855.86200000354,0,"3a0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
1,"hard","prediction","learning",17,"learning_control_trial_seq",0,"a",3,3,"a",0,"a",3,1995.96900000185,0,"0a3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
1,"hard","prediction","learning",18,"learning_control_trial_seq",3,"b",2,0,"a",3,"b",2,1900.59300000139,0,"3b2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
1,"hard","prediction","learning",19,"learning_control_trial_seq",2,"a",2,3,"b",2,"a",2,1586.68700000326,0,"2a2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
1,"hard","prediction","learning",20,"learning_control_trial_seq",2,"b",0,2,"a",2,"b",0,1428.40600000299,0,"2b0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
1,"hard","prediction","learning",21,"learning_control_trial_seq",0,"a",3,2,"b",0,"a",3,2667.5140000004,0,"0a3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
1,"hard","prediction","learning",22,"learning_control_trial_seq",3,"b",3,0,"a",3,"b",3,1418.0080000023,0,"3b3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
1,"hard","prediction","learning",23,"learning_control_trial_seq",3,"a",0,3,"b",3,"a",0,1387.89800000354,0,"3a0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
1,"hard","prediction","learning",24,"learning_control_trial_seq",0,"a",3,3,"a",0,"a",3,2406.58800000194,0,"0a3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
1,"hard","prediction","learning",25,"learning_control_trial_seq",3,"b",3,0,"a",3,"b",3,3030.24700000082,0,"3b3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
1,"hard","prediction","learning",26,"learning_control_trial_seq",3,"a",2,3,"b",3,"a",2,1808.56600000005,0,"3a2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
1,"hard","prediction","learning",27,"learning_control_trial_seq",2,"b",1,3,"a",2,"b",1,1587.19100000313,0,"2b1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
